force,drug,unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
police,A-Cocaine,kg,951,381,408,646,868,528,622,582,696,710,1013,678,765,519
police,A-Crack,kg,45,34,29,59,36,31,34,47,32,41,38,36,63,50
police,A-Ecstasy,dose(000s),1816,406,332,167,411,264,337,1027,199,259,234,216,345,681
police,A-Heroin,kg,473,346,517,687,311,226,307,256,469,274,245,340,266,183
police,A-LSD,dose(000s),39,5,19,4,5,5,3,1,3,2,1,2,6,162
police,A-Methadone,dose(000s),96,101,205,150,172,85,102,75,60,47,56,53,30,44
police,A-Morphine,dose(000s),3,5,3,6,7,39,6,6,5,6,8,9,21,11
police,B-Herbalcannabis,kg,2731,3073,4454,4697,7097,4624,3875,4957,4648,3361,3492,3085,5046,5394
police,B-Cannabisresin,kg,2305,2632,6083,1410,3315,3912,4162,473,669,689,1423,655,457,198
police,B-Cannabisplants,plant,344360,508460,643510,758943,729584,639227,516661,458061,366841,393700,318971,354506,395831,490016
police,B-Amphetamines,kg,541,859,754,794,574,522,620,862,573,402,531,699,466,439
police,B-Barbiturates,dose(000s),1,2,23,1,0,0,0,0,2,0,0,0,1,11
police,B-Ketamine,kg,3,7,27,211,221,12,22,26,2,9,55,132,23,30
police,C-Anabolicsteroids,dose(000s),85,79,132,141,338,127,100,669,310,545,185,102,217,282
police,C-Benzodiazepines,dose(000s),189,111,179,704,785,444,525,359,344,247,567,548,567,856
police,C-GHB,kg,9,7,2,4,5,2,1,0,2,1,10,1,1,0
police,C-Temazepam,dose(000s),8,13,91,16,9,36,41,7,4,1,1,4,1,3
border,A-Cocaine,kg,2240,3052,2508,1997,1519,2933,2415,2833,2691,3530,4503,2660,8880,3755
border,A-Crack,kg,13,1,4,0,14,4,7,0,0,1,1,22,0,34
border,A-Ecstasy,dose(000s),4795,623,247,55,14,505,297,58,926,543,265,467,1904,1365
border,A-Heroin,kg,530,695,1035,830,420,1623,445,386,645,532,537,154,488,2210
border,A-LSD,dose(000s),0,0,1,1,1,1,0,4,0,0,1,1,48,16
border,A-Methadone,dose(000s),0,0,0,0,0,0,0,0,0,0,0,0,0,0
border,A-Morphine,dose(000s),0,0,0,0,0,0,0,1,9,0,0,0,0,1
border,B-Herbalcannabis,kg,22948,16855,28908,13254,13597,17702,8488,13025,10458,27132,8370,25585,11646,15166
border,B-Cannabisresin,kg,17416,13936,25716,11153,15344,15566,7165,263,6737,6346,4414,7126,4169,673
border,B-Cannabisplants,plant,0,0,0,0,0,0,5,1,0,2,17,34,12,238
border,B-Amphetamines,kg,818,906,2185,532,137,540,816,355,39,57,711,894,202,19
border,B-Barbiturates,dose(000s),310,0,0,0,0,0,0,0,0,0,0,0,0,0
border,B-Ketamine,kg,0,0,0,82,581,68,222,334,106,299,198,114,133,37
border,C-Anabolicsteroids,dose(000s),4969,6907,3816,3345,2459,913,1388,2270,15691,4404,4995,1638,2477,1055
border,C-Benzodiazepines,dose(000s),3086,668,2981,6118,0,0,0,0,0,0,0,0,0,0
border,C-GHB,kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
border,C-Temazepam,dose(000s),500,94,118,125,0,0,0,0,0,0,0,0,0,0
